ID,Repository Link,Remote Configuration File Link,Local Configuration File Link,Project,Category,Sub-Category,Stage,Entity,Message,Line-Number,Configuration File Name,Owner,Repository Name
rolla__xpncms__Job-Allow-Failure__yarn,https://gitlab.com/rolla/xpncms,https://gitlab.com/rolla/xpncms/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/rolla__xpncms/.gitlab-ci.yml,rolla__xpncms,Job-Allow-Failure,,build,yarn,Allows failure of job `yarn` at stage `build`,48,.gitlab-ci.yml,rolla,rolla/xpncms
indybay__indybay-active__Manual-Job__build,https://gitlab.com/indybay/indybay-active,https://gitlab.com/indybay/indybay-active/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/indybay__indybay-active/.gitlab-ci.yml,indybay__indybay-active,Manual-Job,,test,build,Manual job `build` at stage `test`,14,.gitlab-ci.yml,indybay,indybay/indybay-active
oleksandromelchuk__rust-osm-reader__Job-Allow-Failure__rust-nightly,https://gitlab.com/oleksandromelchuk/rust-osm-reader,https://gitlab.com/oleksandromelchuk/rust-osm-reader/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/oleksandromelchuk__rust-osm-reader/.gitlab-ci.yml,oleksandromelchuk__rust-osm-reader,Job-Allow-Failure,,build,rust-nightly,Allows failure of job `rust-nightly` at stage `build`,11,.gitlab-ci.yml,oleksandromelchuk,oleksandromelchuk/rust-osm-reader
iggdrasil__morrigan-ng__Versioning__requirementstxt__pytz__missing,https://gitlab.com/iggdrasil/morrigan-ng,https://gitlab.com/iggdrasil/morrigan-ng/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/iggdrasil__morrigan-ng/requirements.txt,iggdrasil__morrigan-ng,Versioning,missing,,pytz,version specifier is missing,5,requirements.txt,iggdrasil,iggdrasil/morrigan-ng
iggdrasil__morrigan-ng__Versioning__requirementstxt__selenium__missing,https://gitlab.com/iggdrasil/morrigan-ng,https://gitlab.com/iggdrasil/morrigan-ng/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/iggdrasil__morrigan-ng/requirements.txt,iggdrasil__morrigan-ng,Versioning,missing,,selenium,version specifier is missing,10,requirements.txt,iggdrasil,iggdrasil/morrigan-ng
htgoebel__OSD-Neo2__Versioning__requirementstxt__Babel__missing,https://gitlab.com/htgoebel/OSD-Neo2,https://gitlab.com/htgoebel/OSD-Neo2/blob/master/requirements.txt,/home/xxx/fse-submission/linter_configfiles/htgoebel__OSD-Neo2/requirements.txt,htgoebel__OSD-Neo2,Versioning,missing,,Babel,version specifier is missing,2,requirements.txt,htgoebel,htgoebel/OSD-Neo2
jensj__spelltinkle__Versioning__gitlabyaml__jedi__missing,https://gitlab.com/jensj/spelltinkle,https://gitlab.com/jensj/spelltinkle/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/jensj__spelltinkle/.gitlab-ci.yml,jensj__spelltinkle,Versioning,missing,,jedi,version specifier is missing,4,.gitlab-ci.yml,jensj,jensj/spelltinkle
jensj__spelltinkle__Versioning__gitlabyaml__pygments__missing,https://gitlab.com/jensj/spelltinkle,https://gitlab.com/jensj/spelltinkle/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/jensj__spelltinkle/.gitlab-ci.yml,jensj__spelltinkle,Versioning,missing,,pygments,version specifier is missing,4,.gitlab-ci.yml,jensj,jensj/spelltinkle
fast_pixelated_detectors__fpd_live_imaging__Job-Allow-Failure__style_checks,https://gitlab.com/fast_pixelated_detectors/fpd_live_imaging,https://gitlab.com/fast_pixelated_detectors/fpd_live_imaging/blob/master/.gitlab-ci.yml,/home/xxx/fse-submission/linter_configfiles/fast_pixelated_detectors__fpd_live_imaging/.gitlab-ci.yml,fast_pixelated_detectors__fpd_live_imaging,Job-Allow-Failure,,test,style_checks,Allows failure of job `style_checks` at stage `test`,19,.gitlab-ci.yml,fast_pixelated_detectors,fast_pixelated_detectors/fpd_live_imaging
rbertoncelj__wildfly-singleton-service__Versioning__com-bertoncelj-wildflysingletonservice-wildfly-singleton-service-1-2-2-SNAPSHOT__javax-enterprise-cdi-api__missing,https://gitlab.com/rbertoncelj/wildfly-singleton-service,https://gitlab.com/rbertoncelj/wildfly-singleton-service/blob/master/pom.xml,/home/xxx/fse-submission/linter_configfiles/rbertoncelj__wildfly-singleton-service/pom.xml,rbertoncelj__wildfly-singleton-service,Versioning,missing,,javax.enterprise/cdi-api,version specifier is missing,76,pom.xml,rbertoncelj,rbertoncelj/wildfly-singleton-service
