project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage,yml_size
thelabnyc/instrumented-soap,thelabnyc,Python,true,true,false,1,false,true,false,false,29
twittner/json-codec,twittner,Rust,true,false,false,2,false,true,true,false,22
yurb/getmusic,yurb,Python,true,false,false,1,false,true,false,false,6
thelabnyc/django-oscar/django-oscar-cch,thelabnyc,Python,true,true,false,1,false,true,false,false,65
buckybox/core,buckybox,Ruby,true,false,false,1,false,true,false,false,31
bennyp/kupat-givat-hamivtar,bennyp,JavaScript,true,false,false,1,true,false,false,false,26
jamie_ca/codex,jamie_ca,HTML,true,false,false,1,false,true,false,false,17
saintcon/SaintCon2016Badge,saintcon,Lua,true,false,false,5,true,true,true,false,143
d-e/blender-addon-boilerplate,d-e,Python,true,false,false,1,false,true,false,false,8
barrel/barrel-shopify,barrel,Liquid,true,false,false,2,false,true,true,false,18
Boelensman1/SpaceS-DB,Boelensman1,JavaScript,true,false,false,3,false,true,false,false,29
shiplix/shiplix,shiplix,Ruby,true,false,false,2,true,true,false,false,21
socrates-chile/socrates-chile,socrates-chile,JavaScript,true,false,false,1,false,false,true,false,9
jadelab/jadegit,jadelab,C++,true,false,false,2,true,false,true,false,79
pushrocks/smartcli,pushrocks,TypeScript,true,false,false,4,false,true,false,true,125
chriseaton/malk-storage-file,chriseaton,Go,true,false,false,2,true,true,false,false,70
chriseaton/malk-storage-sqlite,chriseaton,Go,true,false,false,2,true,true,false,false,78
ethanfrogers/ethanfrogers.gitlab.io,ethanfrogers,HTML,true,false,false,1,false,true,false,false,15
fabiocosta0305/fabiocosta0305.gitlab.io,fabiocosta0305,HTML,true,false,false,1,false,false,true,false,30
cdietrich/xtext-maven-example,cdietrich,Xtend,true,false,false,1,false,true,false,false,9
pendingchaos/shooty-game,pendingchaos,HTML,true,false,false,1,false,false,true,false,14
foxnewsnetwork/ember-gitlab-pages,foxnewsnetwork,JavaScript,true,false,false,1,false,true,false,false,10
ubuntuforhope/ubuntuforhope.org,ubuntuforhope,Python,true,false,false,3,true,false,false,false,60
carey.pridgeon/Mopfile,carey.pridgeon,C++,true,false,false,1,false,true,false,false,5
werwurm/ichi_reloaded,werwurm,C,true,false,false,1,true,false,false,false,9
sunng/sunng.gitlab.io,sunng,HTML,true,false,false,1,false,false,true,false,13
chriseaton/malk-storage,chriseaton,Go,true,false,false,2,true,true,false,false,72
Rich-Harris/buble-demo,Rich-Harris,HTML,true,false,false,1,false,true,false,false,8
