project,owner,language,hasYaml,hasRequirements,hasPoms,stages,hasBuildStage,hasTestStage,hasDeployStage,hasCustomDeployStage
shashankchakelam/NamoDB,shashankchakelam,Python,TRUE,FALSE,FALSE,4,FALSE,FALSE,FALSE,FALSE
GoatGames/GoatEngine,GoatGames,Java,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
aatos/rust-ping,aatos,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
worr/rcstring,worr,Rust,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
phunehehe/runix,phunehehe,Nix,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
wesleyceraso/linlib,wesleyceraso,C++,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
jangorecki/big.data.table,jangorecki,R,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
hylcos/InChat,hylcos,C,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
wildan-anky/PMPL_Wildan,wildan-anky,Python,TRUE,TRUE,FALSE,1,FALSE,TRUE,FALSE,FALSE
sane-project/ci-envs,sane-project,Makefile,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
axil/phantomjs-debian,axil,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
wahyuoi/Quiz3,wahyuoi,Python,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
fa13/build,fa13,Java,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
craigbarnes/tally,craigbarnes,C,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
jubianchi/hubot-gitlab-ops,jubianchi,CSS,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE
sgimeno/angularjs-gulp-browserify-boilerplate,sgimeno,JavaScript,TRUE,FALSE,FALSE,1,FALSE,TRUE,FALSE,FALSE
lummei/libfasta,lummei,C,TRUE,FALSE,FALSE,1,TRUE,FALSE,FALSE,FALSE
sytses/sytses.gitlab.io,sytses,CSS,TRUE,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE
